term	estimate	std.error	statistic	p.value	conf.low	conf.high	variable	lvl	index	dataset	test_var	ref_level	outcome_subset
symtomduration_endrede_avforingsvaner_catYes	-9.489345281210628	9.871297478480706	-0.9613067888894313	0.336800601540043	-28.877401377932156	9.8987108155109	symtomduration_endrede_avforingsvaner_cat	Yes	observed	mags	symtomduration_endrede_avforingsvaner_cat	No	positive
symtomduration_endrede_avforingsvaner_catYes	-0.09746979993401286	0.07763646965909039	-1.2554640926102467	0.20981851792823003	-0.24995433726897043	0.0550147374009447	symtomduration_endrede_avforingsvaner_cat	Yes	shannon	mags	symtomduration_endrede_avforingsvaner_cat	No	positive
symtomduration_endrede_avforingsvaner_catYes	-1.6284551010890533	2.6399303791663042	-0.6168553208601368	0.5375734744319864	-6.813499761559892	3.556589559381785	symtomduration_endrede_avforingsvaner_cat	Yes	invsimpson	metaphlan	symtomduration_endrede_avforingsvaner_cat	No	positive
symtomduration_endrede_avforingsvaner_catYes	-15.340483049734297	12.780108857901029	-1.2003405620641778	0.23049967712466518	-40.441688640929684	9.76072254146109	symtomduration_endrede_avforingsvaner_cat	Yes	observed	metaphlan	symtomduration_endrede_avforingsvaner_cat	No	positive
symtomduration_endrede_avforingsvaner_catYes	-0.08841500574826927	0.07779461595427546	-1.1365183138153936	0.2562114958964617	-0.24121015566979112	0.06438014417325258	symtomduration_endrede_avforingsvaner_cat	Yes	shannon	metaphlan	symtomduration_endrede_avforingsvaner_cat	No	positive
symtomduration_diare_catYes	-59.45978021378277	26.088602092252923	-2.2791478057553536	0.02286277869576591	-110.65283275918478	-8.26672766838076	symtomduration_diare_cat	Yes	invsimpson	ko_hum	symtomduration_diare_cat	No	all
symtomduration_diare_catYes	-127.81892594881724	89.40915880480425	-1.4295954425414983	0.15313728085604897	-303.2644231260587	47.626571228424254	symtomduration_diare_cat	Yes	observed	ko_hum	symtomduration_diare_cat	No	all
symtomduration_diare_catYes	-0.0692198982037723	0.031132149835628724	-2.223421722214462	0.026404333942650245	-0.13030978629938392	-0.008130010108160703	symtomduration_diare_cat	Yes	shannon	ko_hum	symtomduration_diare_cat	No	all
symtomduration_diare_catYes	-3.383855525551619	2.2488907751926877	-1.5046775783326722	0.1327144542344112	-7.796801194936355	1.0290901438331175	symtomduration_diare_cat	Yes	invsimpson	mags	symtomduration_diare_cat	No	all
symtomduration_diare_catYes	-14.821653280078761	8.269466142088078	-1.7923349615814772	0.07337357923589177	-31.048632910392087	1.4053263502345654	symtomduration_diare_cat	Yes	observed	mags	symtomduration_diare_cat	No	all
symtomduration_diare_catYes	-0.1190991806188717	0.06613096283329442	-1.8009594222770005	0.07200254411751765	-0.24886641932455097	0.01066805808680757	symtomduration_diare_cat	Yes	shannon	mags	symtomduration_diare_cat	No	all
