primary_model	add_var	no_m	secondary_alg	predictor	sensitivities	specificities	thresholds	var_cat
rf_mphl	fit	FALSE	log_reg	primary_pred	0.5	0.5888888888888889	0.5693045634920635	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.49137931034482757	0.5888888888888889	0.5700966269841269	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.4827586206896552	0.5888888888888889	0.570771626984127	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.4827586206896552	0.6	0.5708404761904762	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.4827586206896552	0.6111111111111112	0.5712466269841271	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.47413793103448276	0.6111111111111112	0.5718051587301588	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.47413793103448276	0.6222222222222222	0.5720178571428571	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.46551724137931033	0.6222222222222222	0.5720954365079365	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.45689655172413796	0.6222222222222222	0.5723142857142857	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.4482758620689655	0.6222222222222222	0.573094642857143	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.4482758620689655	0.6333333333333333	0.5743450396825396	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.4396551724137931	0.6333333333333333	0.5754555555555554	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.4396551724137931	0.6444444444444445	0.5762257936507935	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.4396551724137931	0.6555555555555556	0.5771039682539681	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.43103448275862066	0.6555555555555556	0.5779007936507937	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.4224137931034483	0.6555555555555556	0.5781585317460317	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.41379310344827586	0.6555555555555556	0.5786001984126984	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.41379310344827586	0.6666666666666666	0.5798464285714285	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.41379310344827586	0.6777777777777778	0.5809095238095238	roc
rf_mphl	fit	FALSE	log_reg	primary_pred	0.41379310344827586	0.6888888888888889	0.5811918650793653	roc
