dataset	alg	predictor	rep	fold	auroc	sensitivity	specificity	selection	included_in_training	primary_model
hum-kegg	rf	primary_prob	Repeat16	Fold1	0.6121794871794872	0.8977272727272727	0.24358974358974358	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat16	Fold2	0.5446623093681917	0.6235294117647059	0.49382716049382713	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat16	Fold3	0.5659644404601822	0.845360824742268	0.2028985507246377	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat16	Fold4	0.4613846153846154	0.82	0.23076923076923078	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat16	Fold5	0.5983856229058787	0.9183673469387755	0.13432835820895522	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat17	Fold1	0.5736100815418829	0.8631578947368421	0.18309859154929578	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat17	Fold2	0.5828737745098039	0.8235294117647058	0.25	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat17	Fold3	0.558187134502924	0.8888888888888888	0.2894736842105263	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat17	Fold4	0.5752360645750838	0.8469387755102041	0.1791044776119403	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat17	Fold5	0.5714075815456949	0.8433734939759037	0.18292682926829268	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat18	Fold1	0.5331818181818182	0.72	0.30303030303030304	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat18	Fold2	0.5916629314208874	0.8041237113402062	0.30434782608695654	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat18	Fold3	0.6167329503608778	0.9032258064516129	0.2328767123287671	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat18	Fold4	0.5700740740740741	0.7555555555555555	0.30666666666666664	all	all	rf_hum-kegg
hum-kegg	rf	primary_prob	Repeat18	Fold5	0.5624262101534829	0.8522727272727273	0.2597402597402597	all	all	rf_hum-kegg
