primary_alg	primary_dataset	sec_add_var	sec_alg	predictor	rep	fold	auroc	sensitivity	specificity	selection	primary_model	secondary_model
rf	mags	fit	log_reg	FIT_value	Repeat09	Fold4	0.5694444444444444	0.6851851851851852	0.4166666666666667	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	FIT_value	Repeat09	Fold5	0.6376811594202898	0.6382978723404256	0.5652173913043478	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	FIT_value	Repeat10	Fold1	0.6505882352941177	0.8823529411764706	0.26666666666666666	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	FIT_value	Repeat10	Fold2	0.6280048076923077	0.5192307692307693	0.6875	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	FIT_value	Repeat10	Fold3	0.6094594594594595	0.5405405405405406	0.5375	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	FIT_value	Repeat10	Fold4	0.5426447574334898	0.4444444444444444	0.5774647887323944	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	FIT_value	Repeat10	Fold5	0.5986394557823129	0.6428571428571429	0.4857142857142857	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	FIT_value	Repeat11	Fold1	0.7009057971014493	0.2	0.9855072463768116	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	FIT_value	Repeat11	Fold2	0.5353475041796035	0.71698113207547165	0.3670886075949367	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	FIT_value	Repeat11	Fold3	0.6565785281936922	0.7906976744186046	0.3561643835616438	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	FIT_value	Repeat11	Fold4	0.5994202898550725	0.54	0.5507246376811594	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	FIT_value	Repeat11	Fold5	0.5372857142857143	0.48	0.6142857142857143	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	FIT_value	Repeat12	Fold1	0.5874510763209393	0.42857142857142855	0.7123287671232876	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	FIT_value	Repeat12	Fold2	0.6228937728937729	0.6923076923076923	0.42857142857142855	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	FIT_value	Repeat12	Fold3	0.6427771556550952	0.5319148936170213	0.6842105263157895	all	rf_mags	log_reg_mags_fit
