primary_alg	primary_dataset	sec_add_var	sec_alg	predictor	rep	fold	auroc	sensitivity	specificity	selection	primary_model	secondary_model
rf	mags	fit	log_reg	primary_prob	Repeat15	Fold2	0.5995552260934025	0.9263157894736842	0.08450704225352113	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat15	Fold3	0.6458977758138165	0.7634408602150538	0.4246575342465753	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat15	Fold4	0.6104411764705883	0.8588235294117647	0.2125	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat15	Fold5	0.629911666159001	0.5510204081632653	0.6119402985074627	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat16	Fold1	0.6604020979020979	0.875	0.34615384615384615	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat16	Fold2	0.6185911401597676	0.8705882352941177	0.25925925925925924	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat16	Fold3	0.6463469296279696	0.7628865979381443	0.5217391304347826	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat16	Fold4	0.5430769230769231	0.88	0.15384615384615385	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat16	Fold5	0.6795613767895218	0.7551020408163265	0.4925373134328358	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat17	Fold1	0.645218680504077	0.8526315789473684	0.4507042253521127	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat17	Fold2	0.5363051470588235	0.6764705882352942	0.375	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat17	Fold3	0.6486842105263158	0.5	0.7236842105263158	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat17	Fold4	0.618184587267743	0.8979591836734694	0.19402985074626866	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat17	Fold5	0.6582427270055833	0.9397590361445783	0.18292682926829268	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat18	Fold1	0.6734848484848485	0.94	0.22727272727272727	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat18	Fold2	0.5779172269535335	0.9278350515463918	0.13043478260869565	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat18	Fold3	0.6626896450139932	0.7419354838709677	0.5068493150684932	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat18	Fold4	0.5903703703703703	0.9	0.24	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat18	Fold5	0.5515053128689492	0.8863636363636364	0.12987012987012986	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat19	Fold1	0.6788923258211813	0.5913978494623656	0.6712328767123288	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat19	Fold2	0.6174358974358974	0.7912087912087912	0.4666666666666667	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat19	Fold3	0.6130952380952381	0.6770833333333334	0.5	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat19	Fold4	0.622840976771888	0.6413043478260869	0.589041095890411	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat19	Fold5	0.6023550724637681	0.8958333333333334	0.13043478260869565	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat20	Fold1	0.6289659224441833	0.5869565217391305	0.5675675675675675	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat20	Fold2	0.7000780640124903	0.7904761904761904	0.5081967213114754	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat20	Fold3	0.623391812865497	0.7666666666666667	0.42105263157894735	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat20	Fold4	0.5814814814814815	0.9666666666666667	0.06666666666666667	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat20	Fold5	0.5891000891000892	0.8571428571428571	0.1891891891891892	all	rf_mags	log_reg_mags_fit
rf	mags	fit	log_reg	primary_prob	Repeat01	Fold1	0.6634615384615384	0.9583333333333334	0.18461538461538463	neg-v-naa	rf_mags	log_reg_mags_fit
