Model	Resid. df	Resid. Dev	Test	   Df	LR stat.	Pr(Chi)	var_id	model_complexity
value + senter + age_invitation + kjonn	2817	2316.0665041655643	1 vs 2	6	2.9797506884447102	0.8113840136581217	ROKJOT_nonproc	host_assoc_model
senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2754	2233.6383405816264		NA	NA	NA	ROKJOT_nonproc	standard_model
value + senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2748	2229.1943628059635	1 vs 2	6	4.4439777756629155	0.6168236538470633	ROKJOT_nonproc	standard_model
senter + age_invitation + kjonn	2823	2319.046254854009		NA	NA	NA	SABR_S	host_assoc_model
value + senter + age_invitation + kjonn	2817	2306.11701248593	1 vs 2	6	12.92924236807903	0.04417344584090532	SABR_S	host_assoc_model
senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2754	2233.6383405816264		NA	NA	NA	SABR_S	standard_model
value + senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2748	2224.9908167304584	1 vs 2	6	8.647523851167989	0.19439285562803177	SABR_S	standard_model
senter + age_invitation + kjonn	3033	2490.0579351149772		NA	NA	NA	Sivilstatus_cat2	host_assoc_model
value + senter + age_invitation + kjonn	3027	2487.559645280641	1 vs 2	6	2.498289834336447	0.8686590111548931	Sivilstatus_cat2	host_assoc_model
senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2754	2233.6383405816264		NA	NA	NA	Sivilstatus_cat2	standard_model
value + senter + age_invitation + kjonn + wcrf_index_main + Smoking + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2748	2228.5341331457544	1 vs 2	6	5.104207435872013	0.5305189959739568	Sivilstatus_cat2	standard_model
senter + age_invitation + kjonn	3033	2490.0579351149772		NA	NA	NA	Smoking	host_assoc_model
value + senter + age_invitation + kjonn	3027	2479.76076782721	1 vs 2	6	10.297167287767024	0.11268267040183733	Smoking	host_assoc_model
senter + age_invitation + kjonn + wcrf_index_main + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2760	2243.8886489651964		NA	NA	NA	Smoking	standard_model
value + senter + age_invitation + kjonn + wcrf_index_main + Utdanning + colo_hemorrhoids + colo_IBD + antibiotics_reg_quest_comb	2754	2233.6383405816287	1 vs 2	6	10.250308383567699	0.114499098578829	Smoking	standard_model
senter + age_invitation + kjonn	3033	2490.0579351149772		NA	NA	NA	Snus	host_assoc_model
value + senter + age_invitation + kjonn	3027	2486.63175705308	1 vs 2	6	3.4261780618971898	0.7537640695975188	Snus	host_assoc_model
