n_vars_requested	n_vars_actual	frac_samples	training_samples	auroc
4	4	0.5	340	0.48630383082108575
4	4	0.5	329	0.5251709941975429
4	4	0.5	330	0.5555291339357463
4	4	0.5	327	0.5370575401348139
4	4	0.5	343	0.547590946959178
4	4	0.5	346	0.5147475287202778
4	4	0.5	329	0.560802679936254
4	4	0.5	338	0.5820964360587002
4	4	0.5	317	0.5677700077700077
4	4	0.5	325	0.5196299565231604
4	4	0.5	356	0.5986750857726841
4	4	0.5	311	0.5075673338275266
4	4	0.5	339	0.492566510172144
4	4	0.5	326	0.5603853042257612
4	4	0.5	334	0.5397863818424566
4	4	0.5	315	0.5492898392383331
4	4	0.5	348	0.5865713369898141
4	4	0.5	345	0.5175557591346324
4	4	0.5	365	0.5709859154929577
4	4	0.5	347	0.6026093832366896
4	4	0.5	327	0.5590909090909091
4	4	0.5	337	0.5482912457912458
4	4	0.6000000000000001	397	0.5248972528661042
4	4	0.6000000000000001	411	0.5405399093923684
4	4	0.6000000000000001	399	0.5634871339840284
4	4	0.6000000000000001	406	0.5505864599766788
4	4	0.6000000000000001	392	0.5388977550803277
4	4	0.6000000000000001	387	0.5555392670157068
4	4	0.6000000000000001	392	0.5200030193236715
4	4	0.6000000000000001	408	0.5640487725723823
4	4	0.6000000000000001	418	0.5171119259647284
4	4	0.6000000000000001	390	0.5403751693766937
4	4	0.6000000000000001	418	0.5661854485383897
4	4	0.6000000000000001	369	0.5919597796355511
4	4	0.6000000000000001	391	0.489182639347874
4	4	0.6000000000000001	430	0.5424727738629084
4	4	0.6000000000000001	390	0.543392738138745
4	4	0.6000000000000001	401	0.5317476292717839
4	4	0.6000000000000001	392	0.5161407792986741
4	4	0.6000000000000001	405	0.48857007190340523
4	4	0.6000000000000001	369	0.5981195380774033
4	4	0.6000000000000001	406	0.5561729689429417
4	4	0.6000000000000001	421	0.5482534930139721
4	4	0.6000000000000001	426	0.582310442238944
4	4	0.6000000000000001	408	0.5907093534212178
4	4	0.6000000000000001	387	0.5849490222296506
4	4	0.6000000000000001	403	0.5652774037166711
4	4	0.7	472	0.504858993902439
4	4	0.7	476	0.5232535321821036
4	4	0.7	464	0.5539914914914915
4	4	0.7	465	0.5351851851851852
4	4	0.7	453	0.546060606060606
4	4	0.7	449	0.5839908519153802
4	4	0.7	468	0.4754041859882191
4	4	0.7	464	0.565257465896522
4	4	0.7	474	0.5485775630703167
4	4	0.7	446	0.6005689424364123
4	4	0.7	475	0.5803722504230119
4	4	0.7	444	0.5980419043440105
4	4	0.7	454	0.5734267811005851
4	4	0.7	487	0.5911108780760627
4	4	0.7	455	0.5647446070651855
4	4	0.7	460	0.5286193759071117
4	4	0.7	460	0.5134275512347346
4	4	0.7	466	0.5400680693069307
4	4	0.7	434	0.5856510745891277
4	4	0.7	467	0.5186061179438662
4	4	0.7	489	0.5707913669064748
4	4	0.7	481	0.49693416885654607
4	4	0.7	479	0.5227303182579565
4	4	0.7	446	0.5606593038821954
