feature	metadata	value	coef	stderr	pval	name	qval	N	N.not.zero	model	dataset	strat	outcome
SGB5117	sum_lesion_diameter_proximal	sum_lesion_diameter_proximal	0.08816028894115732	0.13904552621574762	0.5262136553076695	sum_lesion_diameter_proximal	0.8188015356352005	1034	346	sum_lesion_diameter_proximal,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat	lesion_loc_size_proximal
SGB3983	sum_lesion_diameter_proximal	sum_lesion_diameter_proximal	-0.04905560191980796	0.07785769656222934	0.5288075776219747	sum_lesion_diameter_proximal	0.8188015356352005	1034	111	sum_lesion_diameter_proximal,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat	lesion_loc_size_proximal
SGB4614	sum_lesion_diameter_proximal	sum_lesion_diameter_proximal	-0.05601029579971103	0.08918960251765155	0.5301661589778357	sum_lesion_diameter_proximal	0.81986545311540715	1034	205	sum_lesion_diameter_proximal,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat	lesion_loc_size_proximal
SGB15149	sum_lesion_diameter_proximal	sum_lesion_diameter_proximal	-0.06347144984969652	0.10150326888019809	0.5319205170404293	sum_lesion_diameter_proximal	0.8211216043266695	1034	193	sum_lesion_diameter_proximal,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat	lesion_loc_size_proximal
SGB4815	sum_lesion_diameter_proximal	sum_lesion_diameter_proximal	-0.0818385374184293	0.13163528984341788	0.5342894632992562	sum_lesion_diameter_proximal	0.823118178069891	1034	730	sum_lesion_diameter_proximal,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat	lesion_loc_size_proximal
SGB5043	sum_lesion_diameter_proximal	sum_lesion_diameter_proximal	0.09639809271425541	0.15547837737958206	0.5354056432181318	sum_lesion_diameter_proximal	0.8239560146988465	1034	389	sum_lesion_diameter_proximal,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat	lesion_loc_size_proximal
SGB15238	sum_lesion_diameter_proximal	sum_lesion_diameter_proximal	-0.05160077065716442	0.08455837673959236	0.541855241099727	sum_lesion_diameter_proximal	0.8263207098914866	1034	119	sum_lesion_diameter_proximal,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat	lesion_loc_size_proximal
SGB4557	sum_lesion_diameter_proximal	sum_lesion_diameter_proximal	-0.12478931709656774	0.2065515988330524	0.5458897566495029	sum_lesion_diameter_proximal	0.827259839319579	1034	557	sum_lesion_diameter_proximal,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat	lesion_loc_size_proximal
SGB58519	sum_lesion_diameter_proximal	sum_lesion_diameter_proximal	-0.06583202226858235	0.10903426935719934	0.5461436067926642	sum_lesion_diameter_proximal	0.827259839319579	1034	189	sum_lesion_diameter_proximal,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat	lesion_loc_size_proximal
SGB4285	sum_lesion_diameter_proximal	sum_lesion_diameter_proximal	-0.09827481388943328	0.16396117346917916	0.5490686792428946	sum_lesion_diameter_proximal	0.8284365418276218	1034	620	sum_lesion_diameter_proximal,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat	lesion_loc_size_proximal
SGB15300	sum_lesion_diameter_proximal	sum_lesion_diameter_proximal	-0.09760565363955806	0.16532551082733998	0.5550783793321585	sum_lesion_diameter_proximal	0.833206824177996	1034	826	sum_lesion_diameter_proximal,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat	lesion_loc_size_proximal
SGB14958	sum_lesion_diameter_proximal	sum_lesion_diameter_proximal	-0.043467459065997686	0.0737184926095495	0.5555766420547749	sum_lesion_diameter_proximal	0.8333649630821622	1034	113	sum_lesion_diameter_proximal,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat	lesion_loc_size_proximal
SGB4573	sum_lesion_diameter_proximal	sum_lesion_diameter_proximal	-0.059309333614060655	0.10066082463112272	0.5558725572180462	sum_lesion_diameter_proximal	0.8333854466370153	1034	160	sum_lesion_diameter_proximal,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat	lesion_loc_size_proximal
SGB8047_group	sum_lesion_diameter_proximal	sum_lesion_diameter_proximal	0.03643600753603252	0.06253335500466975	0.560262127470643	sum_lesion_diameter_proximal	0.8352247213953496	1034	112	sum_lesion_diameter_proximal,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat	lesion_loc_size_proximal
SGB4027	sum_lesion_diameter_proximal	sum_lesion_diameter_proximal	-0.05091484052027245	0.08860363972900641	0.5656785999689925	sum_lesion_diameter_proximal	0.8388171619907813	1034	112	sum_lesion_diameter_proximal,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat	lesion_loc_size_proximal
SGB4753	sum_lesion_diameter_proximal	sum_lesion_diameter_proximal	0.06760134333292728	0.11785584944255963	0.5663837422702871	sum_lesion_diameter_proximal	0.8388171619907813	1034	217	sum_lesion_diameter_proximal,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat	lesion_loc_size_proximal
SGB4687	sum_lesion_diameter_proximal	sum_lesion_diameter_proximal	0.039654577449920694	0.06958851586259232	0.5689234371600853	sum_lesion_diameter_proximal	0.8390941710788611	1034	144	sum_lesion_diameter_proximal,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat	lesion_loc_size_proximal
SGB15265	sum_lesion_diameter_proximal	sum_lesion_diameter_proximal	0.07756315782441706	0.13749936224568438	0.5728253135829702	sum_lesion_diameter_proximal	0.8396723428983025	1034	397	sum_lesion_diameter_proximal,Total_Reads_QC_ATLAS,senter,age_invitation,kjonn,wcrf_index_main,Smoking,Utdanning,colo_hemorrhoids,colo_IBD,antibiotics_reg_quest_comb	metaphlan	no_strat	lesion_loc_size_proximal
